,date,surge,flow
0,1967-10-29,0.952,1.63321
1,1968-10-29,0.922,2.513486
2,1972-12-07,0.702,0.6179271
3,1974-11-11,0.722,1.023014
4,1974-12-25,0.902,0.4837843
5,1975-09-26,1.012,0.6578271
6,1975-10-04,0.652,0.8729051
7,1975-11-27,0.602,0.4665613
8,1977-11-04,0.802,0.6599109
9,1979-11-04,0.792,0.7597049
10,1980-10-07,0.842,0.5986329
11,1981-10-11,0.802,0.6033024
12,1981-11-18,0.682,0.4770845
13,1981-11-24,1.382,0.703528
14,1982-09-21,0.702,0.8584462
15,1982-11-13,1.112,1.144106
16,1982-12-06,0.612,0.6574624
17,1983-10-17,0.682,2.153327
18,1984-10-03,0.642,2.061982
19,1984-10-20,0.982,0.5317029
20,1984-10-27,0.632,0.7317691
21,1984-11-29,0.722,0.5442681
22,1984-12-24,0.602,2.106191
23,1985-07-19,0.682,2.871522
24,1985-08-26,0.622,1.013745
25,1986-10-29,0.662,1.40607
26,1986-11-25,0.672,0.6141537
27,1986-12-09,0.592,0.71989
28,1987-09-13,0.742,0.4945813
29,1987-10-16,1.922,6.944652
30,1987-11-14,0.662,1.921691
31,1988-10-09,0.692,0.5480062
32,1989-08-16,0.612,0.5921565
33,1989-11-11,0.752,0.8643729
34,1990-01-23,0.932,0.7476477
35,1990-02-01,0.842,3.005648
36,1990-02-25,0.832,0.7638159
37,1990-12-27,1.032,0.675736
38,1991-11-04,0.88,1.548433
39,1992-11-03,0.95,1.214434
40,1992-11-12,0.587,0.6429666
41,1992-12-03,1.072,2.94592
42,1994-12-19,0.742,0.6832742
43,1996-11-05,0.613,0.7172326
44,1998-10-26,1.044,1.488089
45,2000-05-29,0.595,0.6773495
46,2000-09-08,0.647,0.7623352
47,2000-10-30,1.584,2.566425
48,2002-10-26,0.86,2.885386
49,2004-09-20,0.723,2.590662
50,2004-12-17,0.806,0.7653447
51,2005-01-08,1.354,0.6030884
52,2005-11-04,0.709,3.281492
53,2006-09-03,0.642,1.116934
54,2006-10-07,0.662,0.8443452
55,2006-10-27,0.616,0.6380805
56,2006-12-08,0.864,1.224166
57,2007-01-01,0.853,0.4517497
58,2007-01-08,0.745,0.5385482
59,2007-01-14,1.002,0.4681322
60,2007-11-09,0.678,1.341145
61,2007-12-02,0.689,1.171148
62,2008-01-16,0.718,2.241294
63,2008-02-27,0.819,0.78395
64,2008-10-04,0.744,1.456551
65,2008-11-10,0.705,0.7870407
66,2009-08-16,0.667,0.467027
67,2009-09-04,0.625,0.7630363
68,2009-11-24,0.729,1.541157
69,2010-09-14,0.606,0.4523502
70,2011-08-29,0.652,2.344049
71,2011-10-09,0.727,0.5276245
72,2011-12-12,0.698,0.7314619
73,2012-11-02,0.638,1.672407
74,2012-11-11,0.705,1.380074
75,2013-10-23,0.663,0.4733072
76,2013-10-27,0.799,0.860045
77,2013-12-16,0.952,0.6285875
78,2013-12-25,0.916,1.01197
79,2014-02-16,0.645,2.004605
80,2015-01-08,0.636,0.5750827
81,2015-08-27,0.655,0.4687532
82,2015-09-18,0.628,4.416257
83,2015-11-29,0.946,0.7208863
84,2015-12-04,0.746,0.9524476
85,2016-02-09,0.711,1.81138
86,2017-09-12,0.609,2.237078
87,2017-11-23,0.646,0.7707701
88,2018-09-11,0.593,0.6498958
89,2018-12-03,0.675,1.233253
90,2020-01-17,0.691,1.963838
91,2020-03-11,0.78,0.7090889
92,2020-07-05,0.642,0.6339362
93,2020-07-29,0.606,1.002862
94,2020-11-16,0.897,1.172985
95,2020-12-27,0.774,1.784585
96,2021-01-22,0.76,0.7417697
97,2022-11-07,0.602,1.506369
98,2022-12-31,0.602,0.651209
99,2023-02-17,0.904,0.5975667
